symbol,date,open,high,low,close,adj_close,volume
BAC,1973-02-21,4.625,4.625,4.625,4.625,1.4991657733917236,99200
BAC,1973-02-22,4.640625,4.640625,4.640625,4.640625,1.5042299032211304,47200
BAC,1973-02-23,4.625,4.625,4.625,4.625,1.4991657733917236,133600
BAC,1973-02-26,4.625,4.625,4.625,4.625,1.4991657733917236,24000
BAC,1973-02-27,4.625,4.625,4.625,4.625,1.4991657733917236,41600
BAC,1973-02-28,4.625,4.625,4.625,4.625,1.4991657733917236,66400
BAC,1973-03-01,4.65625,4.65625,4.65625,4.65625,1.5092943906784058,93600
BAC,1973-03-02,4.671875,4.671875,4.671875,4.671875,1.5143598318099976,26400
BAC,1973-03-05,4.734375,4.734375,4.734375,4.734375,1.5346194505691528,68000
BAC,1973-03-06,4.875,4.875,4.875,4.875,1.580201506614685,76800
BAC,1973-03-07,4.875,4.875,4.875,4.875,1.580201506614685,51200
BAC,1973-03-08,4.90625,4.90625,4.90625,4.90625,1.5903315544128418,84800
BAC,1973-03-09,4.90625,4.90625,4.90625,4.90625,1.5903315544128418,78400
BAC,1973-03-12,4.890625,4.890625,4.890625,4.890625,1.5852659940719604,73600
BAC,1973-03-13,4.90625,4.90625,4.90625,4.90625,1.5903315544128418,47200
BAC,1973-03-14,4.921875,4.921875,4.921875,4.921875,1.5953954458236694,50400
BAC,1973-03-15,4.90625,4.90625,4.90625,4.90625,1.5903315544128418,70400
BAC,1973-03-16,4.890625,4.890625,4.890625,4.890625,1.5852659940719604,44800
BAC,1973-03-19,4.84375,4.84375,4.84375,4.84375,1.5700712203979492,28000
BAC,1973-03-20,4.75,4.75,4.75,4.75,1.5396831035614014,68800
BAC,1973-03-21,4.6875,4.6875,4.6875,4.6875,1.5194242000579834,94400
BAC,1973-03-22,4.609375,4.609375,4.609375,4.609375,1.494101643562317,55200
BAC,1973-03-23,4.609375,4.609375,4.609375,4.609375,1.494101643562317,117600
BAC,1973-03-26,4.59375,4.59375,4.59375,4.59375,1.4890352487564087,9600
BAC,1973-03-27,4.59375,4.59375,4.59375,4.59375,1.4890352487564087,15200
